soil_moisture,vibration_max,vibration_rms,flame_detected,rainfall_24h,temperature,wind_speed,wind_direction,soil_type,water_bearing_capacity,slope,vegetation_cover,label,event_type,node_id,lat,lon,timestamp
191.2325581395349,10.388,10.12578211047607,0,0.0,34.2,13.7,82,1,140.0,20,45,,,2,9.849,76.939,2026-03-24T14:28:02.400603
0.0,9.661,9.982992439143686,0,0.0,34.2,13.7,82,2,140.0,35,55,,,1,9.85,76.938,2026-03-24T14:43:02.410395
43.1875,11.102,10.116336232179119,0,0.0,34.2,13.7,82,1,140.0,20,45,,,2,9.849,76.939,2026-03-24T14:43:02.413237
59.24175824175824,10.168,10.120510900103852,0,0.0,34.2,13.7,82,1,140.0,20,45,,,2,9.849,76.939,2026-03-24T14:58:02.422460
0.0,9.687,10.025639663310097,0,0.0,34.2,13.7,82,2,140.0,35,55,,,1,9.85,76.938,2026-03-24T14:58:02.425487
18.71951219512195,10.278,10.115197213936526,0,0.0,33.9,13.7,88,1,140.0,20,45,,,2,9.849,76.939,2026-03-24T15:13:02.434580
1.0755813953488371,9.799,10.0306894958237,0,0.0,34.2,13.7,82,2,140.0,35,55,,,1,9.85,76.938,2026-03-24T15:13:02.437624
15.226086956521739,10.305,10.125526909317083,0,0.0,33.9,13.7,88,1,140.0,20,45,,,2,9.849,76.939,2026-03-24T15:28:02.449753
0.0,10.903,9.941901106676857,0,0.0,33.9,13.7,88,2,140.0,35,55,,,1,9.85,76.938,2026-03-24T15:28:02.458216
3.9107142857142856,10.439,10.19024878516572,0,0.0,33.9,13.7,88,2,140.0,35,55,,,1,9.85,76.938,2026-03-24T15:43:02.463962
0.0,10.494,10.12855181386529,0,0.0,33.9,13.7,88,1,140.0,20,45,,,2,9.849,76.939,2026-03-24T15:43:02.467034
